🚀 开始处理 TVBox 配置文件 (最新资源倒序 + 多重 CDN 校验)...

📦 历史加载：读取到历史已知接口 587 条。
🔍 开始检索 GitHub Code Search API (⚡已开启最新资源优先模式)...
  └─ [最新资源-成功] 第 1 页检索到 100 条数据
  └─ [最新资源-成功] 第 2 页检索到 100 条数据
  └─ [最新资源-成功] 第 3 页检索到 100 条数据

🧹 汇总去重：最终得到【627】条候选接口，开始发起【混合探针健康复检】...

[1/627] 节点测试... ✅ [常规健康] -> [自定义1] 【GitHub-phoenix7750/iptv/5dfdd07ec5f718a418c31b8eb622aec94c0da7d5/tvbox.json】
[2/627] 节点测试... ✅ [常规健康] -> [自定义2] 【GitHub-Dong-learn9/TVBox-zyjk/adb3ff7df4e0465c23bdf62b2c9536de25c08db2/18.json】
[3/627] 节点测试... ✅ [常规健康] -> [自定义3] 【GitHub-sbday/xiaoya/b88487e66e37c6c45f7d74fdaaa265959ecaec6c/tvbox.json】
[4/627] 节点测试... ✅ [常规健康] -> [自定义4] 【GitHub-jessic01/box1/bb7d749d3eb60b5b5cbf83527eba65ab0db6a37f/tvbox.json】
[5/627] 节点测试... ✅ [常规健康] -> [自定义5] 【GitHub-ylxdy/IPTV/a12b085cfe580069830c7aa7e7394213d80e03d8/tvbox.json】
[6/627] 节点测试... ✅ [常规健康] -> [自定义6] 【GitHub-loveFeng/loveFeng.github.io/bfd18d0cdc571cfc7e9ca4399c2cd7516a28377f/tvbox.json】
[7/627] 节点测试... ✅ [常规健康] -> [自定义7] 【GitHub-talk2030/tv/3cacee7c7789641afb38b49832dca77fa703ae5c/tvbox.json】
[8/627] 节点测试... ✅ [常规健康] -> [自定义8] 【GitHub-duwei0997/tbox/b0000171f14b358e62370260109f54bc3e4bc383/tvbox.json】
[9/627] 节点测试... ✅ [常规健康] -> [自定义9] 【GitHub-Dong-learn9/TVBox-zyjk/adb3ff7df4e0465c23bdf62b2c9536de25c08db2/19.json】
[10/627] 节点测试... ✅ [常规健康] -> [自定义10] 【GitHub-heroaku/TVboxo/42edfca812780525e95a1c1c2d97d6ed664e27a4/9m.json】
[11/627] 节点测试... ✅ [常规健康] -> [自定义11] 【GitHub-kcjsd/TVBOXZY/1fe21df6951ac329ec80fce9e26956440992cdb9/tvbox.json】
[12/627] 节点测试... ✅ [常规健康] -> [自定义12] 【GitHub-niubihu1/tvbox-/a432316c979224b10b64ecbf90ee7836a342b3ec/1.json】
