🚀 开始处理 TVBox 配置文件 (最新资源倒序 + 多重 CDN 校验)...

📦 历史加载：读取到历史已知接口 1977 条。
🔍 开始检索 GitHub Code Search API (⚡已开启最新资源优先模式)...
  └─ [最新资源-成功] 第 1 页检索到 100 条数据
  └─ [最新资源-成功] 第 2 页检索到 100 条数据
  └─ [最新资源-成功] 第 3 页检索到 100 条数据

🧹 汇总去重：最终得到【2001】条候选接口，开始发起【混合探针健康复检】...

[1/2001] 节点测试... ✅ [常规健康] -> [自定义1] 【GitHub-niubihu1/tvbox-/a432316c979224b10b64ecbf90ee7836a342b3ec/2.json】
[2/2001] 节点测试... ✅ [常规健康] -> [自定义2] 【GitHub-zhuxinfu88/tvlist/a51850cdcdee786fcc64b423191d8a523cf90c59/jar/0.json】
[3/2001] 节点测试... ✅ [常规健康] -> [自定义3] 【GitHub-15978929868/aikanIPTV/b3b9afdc5dafdc28d6b8d30808a2ef948f787da6/tvbox.json】
[4/2001] 节点测试... ✅ [常规健康] -> [自定义4] 【GitHub-jigedos/geekcomputers/37b365174b6e3205dc881880c4396f2ef2e75028/630.json】
[5/2001] 节点测试... ✅ [常规健康] -> [自定义5] 【GitHub-cysk003/Yoursmile7_TVBox/135b44c68587dfe980c8f2be996edccf63f0108b/XC.json】
[6/2001] 节点测试... ✅ [常规健康] -> [自定义6] 【GitHub-fycszqfhd/TVBox/81ec1ca237b2ed696414e40abcfaaf5060fcd77b/tvbox1.json】
[7/2001] 节点测试... ✅ [常规健康] -> [自定义7] 【GitHub-cymcn/myTVBox/77eca3f31b4ff026043b664b8be81ce8607205fc/XC.json】
[8/2001] 节点测试... ✅ [常规健康] -> [自定义8] 【GitHub-tiantaiyx/tvbox/d97a57c12bc0ac189cda5acfe530394e03d80371/0706.json】
[9/2001] 节点测试... ✅ [常规健康] -> [自定义9] 【GitHub-tiantaiyx/tvbox/d97a57c12bc0ac189cda5acfe530394e03d80371/0701.json】
[10/2001] 节点测试... ✅ [常规健康] -> [自定义10] 【GitHub-jyoketsu/tv/935e9113f1972b5b2ee0cfa4abb974a93dc78de4/m.json】
[11/2001] 节点测试... ✅ [常规健康] -> [自定义11] 【GitHub-yohaa0/yscang/046e0008e718d3457e4d31c198eb000ee4bf377a/XC.json】
[12/2001] 节点测试... ✅ [常规健康] -> [自定义12] 【GitHub-zyscdx/tvbox/e5f6e290f664356ba6c4132f6b5fa088dacabc5d/fhvk.json】
